district_cd,district,industry_cd,industry_nm,year,biz_count,emp_count,region,item_category
001011,군포시,011,Information and communications,2022,693,1849,경기도,IT장비/전산
001011,군포시,012,Financial and insurance activities,2022,114,813,경기도,
001011,군포시,013,Real estate activites and renting and leasing,2022,1456,3168,경기도,
001011,군포시,014,Professional scientific and technical activities,2022,1019,5248,경기도,전문용역/컨설팅
001011,군포시,015,Business facilities managementand business support services,2022,613,7824,경기도,시설유지보수
001011,군포시,016,Public administration ; compulsory social security,2022,32,2049,경기도,
001011,군포시,017,Education,2022,1392,8076,경기도,교육물품/교구
001011,군포시,018,Human health and social work activities,2022,824,11053,경기도,의료/복지용품
001011,군포시,019,Arts sports and recreation related services,2022,712,2150,경기도,
001011,군포시,020,Membership organizations repair and other personal services,2022,2104,4214,경기도,
001012,의왕시,002,Agriculture forestry and fishing,2022,10,20,경기도,
001012,의왕시,003,Mining ＆ quarrying,2022,0,0,경기도,
001012,의왕시,004,Manufacturing,2022,1414,10162,경기도,IT장비/전산
001012,의왕시,005,Electricity gas steam and water supply,2022,17,49,경기도,시설유지보수
001012,의왕시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,41,326,경기도,폐기물/환경
001012,의왕시,007,Construction,2022,713,3573,경기도,건설/공사
001012,의왕시,008,Wholesale and retail trade,2022,3546,9270,경기도,사무용품/소모품
001012,의왕시,009,Transportation,2022,2065,4970,경기도,차량/운송
001012,의왕시,010,Accommodation and food service activities,2022,1485,4829,경기도,
001012,의왕시,011,Information and communications,2022,430,2765,경기도,IT장비/전산
001012,의왕시,012,Financial and insurance activities,2022,69,376,경기도,
001012,의왕시,013,Real estate activites and renting and leasing,2022,765,1737,경기도,
001012,의왕시,014,Professional scientific and technical activities,2022,652,6736,경기도,전문용역/컨설팅
001012,의왕시,015,Business facilities managementand business support services,2022,254,2266,경기도,시설유지보수
001012,의왕시,016,Public administration ; compulsory social security,2022,29,2492,경기도,
001012,의왕시,017,Education,2022,689,3751,경기도,교육물품/교구
001012,의왕시,018,Human health and social work activities,2022,433,5308,경기도,의료/복지용품
001012,의왕시,019,Arts sports and recreation related services,2022,363,936,경기도,
001012,의왕시,020,Membership organizations repair and other personal services,2022,1008,1979,경기도,
001013,하남시,002,Agriculture forestry and fishing,2022,14,61,경기도,
