city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days
전라북도,군산시,전국 주요 지역,기타/미분류,44,11340849000.0,257746568.1818182,2026-05-15 16:16:22,0.06342182890855458,0.0009371638862646487,1.0,1.0,37.56,제외,8.9
제주특별자치도,제주시,전국 주요 지역,방역/소독,51,1830551476.0,35893166.196078435,2026-05-14 15:44:36,0.07374631268436578,0.00015126969200062964,0.9677419354838709,1.0,37.47,추천,6.0
경상남도,경상남도,전국 주요 지역,전문용역/컨설팅,50,6259679620.0,125193592.4,2026-05-14 15:39:51,0.07227138643067847,0.0005172757065587258,0.9677419354838709,1.0,37.42,추천,10.4
전라북도,남원시,전국 주요 지역,IT장비/전산,67,25325256242.0,377988899.13432837,2026-05-11 21:25:47,0.09734513274336283,0.0020927811983389223,0.8823529411764706,1.0,37.18,추천,8.4
전라북도,순창군,전국 주요 지역,폐기물/환경,70,9168644300.0,130980632.85714285,2026-05-12 21:32:42,0.10176991150442478,0.0007576612936091662,0.9090909090909091,0.971,37.15,제외,5.1
전라북도,익산시,전국 주요 지역,시설유지보수,58,19181620490.0,330717594.6551724,2026-05-12 16:20:37,0.084070796460177,0.0015850949080851013,0.9090909090909091,1.0,37.04,추천,8.0
경상북도,안동시,전국 주요 지역,건설/공사,127,2486931894.0,19582140.897637796,2026-04-28 09:54:22,0.18584070796460178,0.00020551043036165487,0.6382978723404256,1.0,37.01,제외,0.2
경상북도,문경시,전국 주요 지역,건설/공사,43,1354260000.0,31494418.604651164,2026-05-14 09:47:36,0.061946902654867256,0.00011191080708443989,0.9677419354838709,1.0,37.0,제외,3.7
제주특별자치도,제주시,전국 주요 지역,급식/식자재,57,8103805825.0,142172032.01754385,2026-05-12 14:43:53,0.08259587020648967,0.0006696671616464602,0.9090909090909091,1.0,36.96,추천,11.2
전라북도,익산시,전국 주요 지역,기타/미분류,90,15596849750.0,173298330.55555555,2026-05-06 11:37:33,0.13126843657817108,0.0012888633227720265,0.7692307692307692,1.0,36.82,제외,6.1
