미매핑 학교명 전체 (5572개)
백양초등학교: 18건
다송초등학교: 18건
응봉초등학교: 18건
신곡중학교: 18건
남천초등학교: 18건
부흥초등학교: 18건
수영초등학교: 18건
신재초등학교: 18건
충렬초등학교: 18건
해강중학교: 18건
해강고등학교: 18건
센텀중학교: 18건
센텀고등학교: 18건
명호중학교: 18건
신정초등학교: 18건
달구벌고등학교: 18건
대광여자고등학교: 18건
송원여자고등학교: 18건
조선대학교부속고등학교: 18건
조선대학교여자고등학교: 18건
신가중학교: 18건
영천중학교: 18건
한울초등학교: 18건
명석고등학교: 18건
유성생명과학고등학교: 18건
와동초등학교: 18건
덕송초등학교: 18건
김포고등학교: 18건
백신고등학교: 18건
서현고등학교: 18건
숭신여자고등학교: 18건
안산국제비즈니스고등학교: 18건
야탑고등학교: 18건
이매고등학교: 18건
호원고등학교: 18건
영동초등학교: 18건
효양고등학교: 18건
청심국제고등학교: 18건
상원고등학교: 18건
효자고등학교: 18건
동탄고등학교: 18건
도촌초등학교: 18건
보평고등학교: 18건
운중고등학교: 18건
정선고등학교: 18건
금산고등학교: 18건
군산풍문초등학교: 18건
군산흥남초등학교: 18건
순창중학교: 18건
전주신흥중학교: 18건
전주효문중학교: 18건
담양공업고등학교: 18건
여수고등학교: 18건
진성여자고등학교: 18건
곡성중앙초등학교: 18건
순천동산중학교: 18건
순천신흥중학교: 18건
순천봉화초등학교: 18건
순천북초등학교: 18건
순천왕조초등학교: 18건
순천이수초등학교: 18건
순천중앙초등학교: 18건
팔마초등학교: 18건
영광중학교: 18건
영광중앙초등학교: 18건
영광초등학교: 18건
삼호중앙초등학교: 18건
순천선혜학교: 18건
순천향림초등학교: 18건
순천향림중학교: 18건
순천왕의중학교: 18건
삼현여자고등학교: 18건
진영고등학교: 18건
남강초등학교: 18건
창원대암고등학교: 18건
신양초등학교: 18건
신용초등학교: 18건
빛여울초등학교: 18건
효천초등학교: 18건
상현고등학교: 18건
빛가람초등학교: 18건
광양마동중학교: 18건
명원초등학교: 18건
연제고등학교: 18건
광양북초등학교: 18건
삼성여자고등학교: 17건
대천초등학교: 17건
용당초등학교: 17건
내산초등학교: 17건
괴정초등학교: 17건
