school_name,candidates
사천중학교,"사천중학교(강원특별자치도교육청), 사천중학교(경상남도교육청)"
신촌초등학교,"신촌초등학교(부산광역시교육청), 신촌초등학교(경기도교육청), 신촌초등학교(충청남도교육청), 신촌초등학교(제주특별자치도교육청)"
금산초등학교,"금산초등학교(강원특별자치도교육청), 금산초등학교(충청남도교육청), 금산초등학교(전북특별자치도교육청), 금산초등학교(전라남도교육청), 금산초등학교(경상남도교육청), 금산초등학교(경상남도교육청)"
광성고등학교,"광성고등학교(서울특별시교육청), 광성고등학교(인천광역시교육청)"
동북초등학교,"동북초등학교(서울특별시교육청), 동북초등학교(전북특별자치도교육청)"
개운중학교,"개운중학교(서울특별시교육청), 개운중학교(경상남도교육청)"
신도중학교,"신도중학교(서울특별시교육청), 신도중학교(부산광역시교육청)"
명덕초등학교,"명덕초등학교(부산광역시교육청), 명덕초등학교(울산광역시교육청), 명덕초등학교(경기도교육청), 명덕초등학교(강원특별자치도교육청), 명덕초등학교(전라남도교육청), 명덕초등학교(경상남도교육청)"
화랑초등학교,"화랑초등학교(서울특별시교육청), 화랑초등학교(부산광역시교육청), 화랑초등학교(경기도교육청), 화랑초등학교(경상북도교육청)"
동양초등학교,"동양초등학교(부산광역시교육청), 동양초등학교(경기도교육청), 동양초등학교(전북특별자치도교육청), 동양초등학교(경상북도교육청)"
어룡초등학교,"어룡초등학교(광주광역시교육청), 어룡초등학교(경기도교육청)"
봉산초등학교,"봉산초등학교(광주광역시교육청), 봉산초등학교(충청남도교육청), 봉산초등학교(전라남도교육청), 봉산초등학교(경상남도교육청)"
사천초등학교,"사천초등학교(강원특별자치도교육청), 사천초등학교(충청북도교육청), 사천초등학교(경상남도교육청)"
웅천초등학교,"웅천초등학교(충청남도교육청), 웅천초등학교(전라남도교육청), 웅천초등학교(경상남도교육청)"
초전초등학교,"초전초등학교(경상북도교육청), 초전초등학교(경상남도교육청)"
안남초등학교,"안남초등학교(부산광역시교육청), 안남초등학교(충청북도교육청), 안남초등학교(경상남도교육청)"
민락초등학교,"민락초등학교(부산광역시교육청), 민락초등학교(경기도교육청)"
운봉초등학교,"운봉초등학교(부산광역시교육청), 운봉초등학교(전북특별자치도교육청)"
청량중학교,"청량중학교(서울특별시교육청), 청량중학교(인천광역시교육청), 청량중학교(울산광역시교육청), 청량중학교(경상북도교육청)"
증산초등학교,"증산초등학교(강원특별자치도교육청), 증산초등학교(경상남도교육청)"
경원중학교,"경원중학교(서울특별시교육청), 경원중학교(경상남도교육청)"
대명중학교,"대명중학교(서울특별시교육청), 대명중학교(대구광역시교육청), 대명중학교(충청남도교육청)"
삼정중학교,"삼정중학교(서울특별시교육청), 삼정중학교(경상남도교육청)"
안민초등학교,"안민초등학교(부산광역시교육청), 안민초등학교(경상남도교육청)"
온천초등학교,"온천초등학교(부산광역시교육청), 온천초등학교(경상남도교육청)"
가야초등학교,"가야초등학교(부산광역시교육청), 가야초등학교(경상남도교육청)"
금곡초등학교,"금곡초등학교(부산광역시교육청), 금곡초등학교(충청남도교육청), 금곡초등학교(경상남도교육청)"
운암고등학교,"운암고등학교(대구광역시교육청), 운암고등학교(경기도교육청)"
상원중학교,"상원중학교(서울특별시교육청), 상원중학교(대구광역시교육청)"
성지중학교,"성지중학교(대구광역시교육청), 성지중학교(경기도교육청)"
신기중학교,"신기중학교(대구광역시교육청), 신기중학교(경기도교육청)"
용두초등학교,"용두초등학교(광주광역시교육청), 용두초등학교(경기도교육청), 용두초등학교(충청북도교육청)"
태봉초등학교,"태봉초등학교(광주광역시교육청), 태봉초등학교(경기도교육청), 태봉초등학교(강원특별자치도교육청), 태봉초등학교(전북특별자치도교육청)"
상일중학교,"상일중학교(서울특별시교육청), 상일중학교(광주광역시교육청), 상일중학교(경기도교육청)"
운남중학교,"운남중학교(광주광역시교육청), 운남중학교(경상북도교육청)"
월봉초등학교,"월봉초등학교(광주광역시교육청), 월봉초등학교(울산광역시교육청)"
