district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
영등포구,오피스/금융/교통,건설/공사,10,20932862000.0,2093286200.0,2024-11-18 20:59:55,0.08256880733944955,0.05917277975568431,0.05454545454545455,6.99,제외,26.5,5
용산구,외국인/관광/개발,시설유지보수,29,12651679000.0,436264793.1034483,2026-04-13 10:35:39,0.25688073394495414,0.035745071738915696,0.75,28.92,추천,17.7,1
용산구,외국인/관광/개발,폐기물/환경,21,98046363000.0,4668874428.571428,2026-03-18 17:57:05,0.1834862385321101,0.2773291211357497,0.46153846153846145,26.72,제외,7.2,2
용산구,외국인/관광/개발,행사/운영용역,13,1906224800.0,146632676.92307693,2026-04-17 17:00:41,0.11009174311926606,0.005345868689646053,0.8571428571428571,22.81,추천,11.4,3
용산구,외국인/관광/개발,전문용역/컨설팅,10,1260354000.0,126035400.0,2026-04-09 16:37:52,0.08256880733944955,0.0035186813760754243,0.6976744186046512,18.19,추천,6.1,4
용산구,외국인/관광/개발,기타/미분류,13,2486862800.0,191297138.46153846,2026-03-27 17:01:38,0.11009174311926606,0.006988510511163642,0.5357142857142857,16.43,제외,13.2,5
은평구,주거/문화/뉴타운,폐기물/환경,29,54224116800.0,1869797131.0344827,2026-04-21 15:08:24,0.25688073394495414,0.15335470967635464,0.9677419354838709,36.8,제외,6.2,1
은평구,주거/문화/뉴타운,시설유지보수,17,56311322200.0,3312430717.647059,2026-04-13 14:22:40,0.14678899082568808,0.15925947457313602,0.7692307692307692,27.5,추천,10.6,2
은평구,주거/문화/뉴타운,행사/운영용역,6,6149521000.0,1024920166.6666666,2026-04-16 16:00:17,0.045871559633027525,0.0173502772870969,0.8333333333333334,19.48,데이터부족,8.3,3
은평구,주거/문화/뉴타운,IT장비/전산,13,5088175720.0,391398132.3076923,2026-03-16 17:02:41,0.11009174311926606,0.01434770056287579,0.44776119402985076,14.89,추천,12.5,4
은평구,주거/문화/뉴타운,건설/공사,11,4552660000.0,413878181.8181818,2025-10-14 16:19:29,0.09174311926605505,0.012832710986320169,0.13636363636363638,7.7,제외,19.8,5
종로구,공공기관/전통상권/관광,전문용역/컨설팅,11,654680000.0,59516363.63636363,2026-04-13 15:49:19,0.09174311926605505,0.0018052119810205982,0.7692307692307692,20.03,추천,13.7,1
종로구,공공기관/전통상권/관광,IT장비/전산,8,3030945340.0,378868167.5,2026-04-07 15:36:37,0.06422018348623854,0.00852773587113236,0.6666666666666666,16.8,데이터부족,13.2,2
종로구,공공기관/전통상권/관광,건설/공사,3,179223000.0,59741000.0,2026-04-13 15:05:22,0.01834862385321101,0.00046013027342776356,0.7692307692307692,16.32,제외,6.3,3
종로구,공공기관/전통상권/관광,시설유지보수,17,1426622400.0,83918964.70588236,2024-12-23 18:58:13,0.14678899082568808,0.003989059524658217,0.058252427184466014,8.62,추천,6.8,4
종로구,공공기관/전통상권/관광,폐기물/환경,8,5602868540.0,700358567.5,2024-12-11 18:37:34,0.06422018348623854,0.015803781548561924,0.05692599620493359,4.82,제외,6.5,5
중구,도심/관광/명동,폐기물/환경,110,93770861544.0,852462377.6727272,2026-04-15 18:09:02,1.0,0.2652336029306289,0.8108108108108107,74.17,제외,5.1,1
중구,도심/관광/명동,시설유지보수,96,33075236260.0,344533711.0416667,2026-04-22 14:16:26,0.8715596330275229,0.09352391036028594,1.0,66.38,추천,6.7,2
중구,도심/관광/명동,기타/미분류,53,9381931540.0,177017576.2264151,2026-04-22 22:01:36,0.47706422018348627,0.026494860895676174,1.0,44.65,제외,7.2,3
중구,도심/관광/명동,건설/공사,49,28838030556.0,588531235.8367347,2026-04-10 16:49:11,0.44036697247706424,0.08153673195349329,0.7142857142857143,38.75,제외,23.6,4
중구,도심/관광/명동,행사/운영용역,38,9106969122.0,239657082.15789473,2026-04-21 09:00:52,0.3394495412844037,0.02571698420287894,0.9375,36.49,추천,14.3,5
중랑구,주거/제조/서민,시설유지보수,21,79701092030.0,3795290096.6666665,2026-03-18 22:36:29,0.1834862385321101,0.2254298149890722,0.46153846153846145,25.17,추천,10.8,1
중랑구,주거/제조/서민,폐기물/환경,16,4750521000.0,296907562.5,2026-04-15 22:31:21,0.13761467889908258,0.013392465520896431,0.8108108108108107,23.5,제외,6.6,2
중랑구,주거/제조/서민,차량/운송,5,536151550.0,107230310.0,2026-03-20 10:59:51,0.03669724770642202,0.0014698915421074432,0.47619047619047616,11.4,데이터부족,5.8,3
중랑구,주거/제조/서민,행사/운영용역,4,587002000.0,146750500.0,2026-03-10 17:31:59,0.027522935779816515,0.0016137489469155838,0.410958904109589,9.64,데이터부족,12.8,4
중랑구,주거/제조/서민,IT장비/전산,11,4070092410.0,370008400.90909094,2025-10-29 17:33:38,0.09174311926605505,0.011467513212418094,0.14634146341463417,7.86,추천,12.0,5
