district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,population,households,bids_per_10k_population,bids_per_10k_households,amount_per_10k_population,amount_per_10k_households
서초구,법조/교육/고소득,급수/전기/설비,13,55032478200.0,4233267553.8461537,2026-04-14 18:09:43,0.11009174311926606,0.15564158763222474,0.7894736842105263,25.96,추천,9.4,446718,203147,0.291,0.6399,1231928827.5825,2708997829.1582
강북구,주거/서민/교육,행사/운영용역,22,3166150000.0,143915909.0909091,2026-04-13 16:43:51,0.1926605504587156,0.008910233794072412,0.7692307692307692,25.28,추천,9.1,297441,139082,0.7396,1.5818,106446320.4467,227646280.6114
중랑구,주거/제조/서민,시설유지보수,21,79701092030.0,3795290096.6666665,2026-03-18 22:36:29,0.1834862385321101,0.2254298149890722,0.46153846153846145,25.17,추천,10.8,388558,177294,0.5405,1.1845,2051201932.0153,4495419587.2393
도봉구,주거/자연/교육,시설유지보수,14,4903073000.0,350219500.0,2026-04-21 09:52:40,0.11926605504587157,0.013824039574189793,0.9375,25.13,추천,16.1,313149,141362,0.4471,0.9904,156573164.8512,346845191.7771
영등포구,오피스/금융/교통,폐기물/환경,16,12760739880.0,797546242.5,2026-04-16 16:00:32,0.13761467889908258,0.03605360814641832,0.8333333333333334,24.63,제외,6.8,382246,191627,0.4186,0.835,333835798.9358,665915548.4352
강북구,주거/서민/교육,시설유지보수,25,5605175788.0,224207031.52,2026-04-06 10:49:02,0.22018348623853212,0.015810308820386042,0.6382978723404256,24.25,추천,10.3,297441,139082,0.8405,1.7975,188446642.7964,403012308.4224
성북구,대학/문화/주거,폐기물/환경,26,136057135000.0,5232966730.769231,2024-12-24 16:23:22,0.22935779816513763,0.38486270273972634,0.058365758754863814,24.18,제외,6.5,432127,198654,0.6017,1.3088,3148545103.6385,6848950184.7433
강남구,업무지구/고소득/IT,차량/운송,12,1105176560.0,92098046.66666667,2026-04-20 13:53:42,0.10091743119266056,0.0030796798765179785,0.9375,23.89,추천,5.7,524942,236215,0.2286,0.508,21053307.9845,46786891.603
마포구,홍대/관광/문화콘텐츠,전문용역/컨설팅,10,1596010000.0,159601000.0,2026-04-21 14:10:54,0.08256880733944955,0.004468261980933026,0.9677419354838709,23.62,추천,10.8,369048,181726,0.271,0.5503,43246677.9389,87825077.3142
중랑구,주거/제조/서민,폐기물/환경,16,4750521000.0,296907562.5,2026-04-15 22:31:21,0.13761467889908258,0.013392465520896431,0.8108108108108107,23.5,제외,6.6,388558,177294,0.4118,0.9025,122260280.3185,267945954.1778
노원구,주거/교육/대학,시설유지보수,7,6564710000.0,937815714.2857143,2026-04-22 13:17:33,0.05504587155963303,0.018524859066508626,1.0,23.31,데이터부족,10.3,505069,221187,0.1386,0.3165,129976498.2606,296794567.4927
강서구,공항/산업단지/주거,기타/미분류,17,2193049180.0,129002892.94117647,2026-04-14 16:35:15,0.14678899082568808,0.006157303218593268,0.7894736842105263,23.31,제외,6.8,571154,259024,0.2976,0.6563,38396810.3174,84665868.0277
동대문구,전통시장/패션/대학,건설/공사,12,17015154810.0,1417929567.5,2026-04-16 11:13:10,0.10091743119266056,0.04808947195503372,0.8333333333333334,23.16,제외,12.2,342289,165897,0.3506,0.7233,497099083.2308,1025645720.5374
강동구,주거/강변/문화,IT장비/전산,11,4126407570.0,375127960.90909094,2026-04-20 08:45:09,0.09174311926605505,0.011626830441055306,0.9090909090909091,23.12,추천,9.5,461012,204387,0.2386,0.5382,89507595.6808,201891880.1098
마포구,홍대/관광/문화콘텐츠,시설유지보수,22,4822277610.0,219194436.8181818,2026-04-07 09:37:23,0.1926605504587156,0.013595467061540217,0.6521739130434783,23.08,추천,14.6,369048,181726,0.5961,1.2106,130668032.6136,265359805.9716
용산구,외국인/관광/개발,행사/운영용역,13,1906224800.0,146632676.92307693,2026-04-17 17:00:41,0.11009174311926606,0.005345868689646053,0.8571428571428571,22.81,추천,11.4,225797,112084,0.5757,1.1598,84422060.5234,170071089.54
중구,도심/관광/명동,급수/전기/설비,14,7018086531.0,501291895.0714286,2026-04-15 17:50:59,0.11926605504587157,0.019807474483886003,0.8108108108108107,22.77,추천,6.3,120892,61208,1.1581,2.2873,580525306.141,1146596283.329
구로구,산업/디지털/제조,시설유지보수,13,36296000520.0,2792000040.0,2026-04-09 16:10:55,0.11009174311926606,0.10263554630337812,0.6976744186046512,22.54,추천,12.6,401907,189742,0.3235,0.6851,903094509.9239,1912913351.8146
마포구,홍대/관광/문화콘텐츠,청소/환경미화,15,3431276590.0,228751772.66666666,2026-04-14 17:07:50,0.12844036697247707,0.009660284642846257,0.7894736842105263,22.5,추천,6.1,369048,181726,0.4065,0.8254,92976430.9792,188815942.1327
강남구,업무지구/고소득/IT,IT장비/전산,22,14218252271.0,646284194.1363636,2026-03-30 14:36:00,0.1926605504587156,0.040176953171781285,0.5660377358490566,22.16,추천,12.5,524942,236215,0.4191,0.9314,270853775.6743,601919957.2847
금천구,제조/산업단지/중소기업,보험/금융,8,1903061300.0,237882662.5,2026-04-20 17:40:16,0.06422018348623854,0.005336919055963154,0.9375,22.12,데이터부족,6.4,229348,113402,0.3488,0.7055,82977017.4582,167815497.0812
구로구,산업/디지털/제조,IT장비/전산,9,3085648100.0,342849788.8888889,2026-04-20 09:46:05,0.07339449541284404,0.008682491573184998,0.9090909090909091,22.11,데이터부족,11.1,401907,189742,0.2239,0.4743,76775176.8444,162623356.9795
서대문구,대학/의료/주거,시설유지보수,5,2422911800.0,484582360.0,2026-04-23 10:50:56,0.03669724770642202,0.00680759126866165,1.0,22.04,데이터부족,9.4,301916,146385,0.1656,0.3416,80251189.0725,165516398.5381
구로구,산업/디지털/제조,폐기물/환경,22,130896971140.0,5949862324.545455,2024-12-19 17:31:37,0.1926605504587156,0.3702644488150441,0.057803468208092484,21.9,제외,6.5,401907,189742,0.5474,1.1595,3256897021.9479,6898681954.4434
강북구,주거/서민/교육,기타/미분류,7,1319443100.0,188491871.42857143,2026-04-21 09:35:34,0.05504587155963303,0.003685846161803942,0.9375,21.61,제외,9.9,297441,139082,0.2353,0.5033,44359825.9823,94867998.7346
강동구,주거/강변/문화,청소/환경미화,4,723997080.0,180999270.0,2026-04-22 16:25:57,0.027522935779816515,0.002001312020207631,1.0,21.44,데이터부족,6.5,461012,204387,0.0868,0.1957,15704517.0191,35422853.704
