district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days
서대문구,대학/의료/주거,건설/공사,20,26409443528.0,1320472176.4,2025-10-29 18:01:19,0.1743119266055046,0.0746661884834002,0.14634146341463417,13.88,제외,10.8
관악구,청년/자취생/대학가,IT장비/전산,11,2613370500.0,237579136.36363637,2026-03-16 13:58:16,0.09174311926605505,0.00734640448083838,0.44776119402985076,13.76,추천,11.9
도봉구,주거/자연/교육,폐기물/환경,14,76680854472.0,5477203890.857142,2024-12-10 10:20:37,0.11926605504587157,0.21688547492919158,0.05671077504725898,13.6,제외,16.6
동대문구,전통시장/패션/대학,사무용품/소모품,10,3112500000.0,311250000.0,2026-03-17 22:10:02,0.08256880733944955,0.008758456380736706,0.45454545454545453,13.48,추천,16.2
동대문구,전통시장/패션/대학,행사/운영용역,12,3295043000.0,274586916.6666667,2026-03-09 11:07:11,0.10091743119266056,0.009274875846953669,0.4054054054054054,13.43,추천,11.2
금천구,제조/산업단지/중소기업,시설유지보수,7,2936424000.0,419489142.85714287,2026-03-23 17:59:18,0.05504587155963303,0.008260332245965073,0.5,13.0,데이터부족,18.1
용산구,외국인/관광/개발,인쇄/홍보물,5,1876848600.0,375369720.0,2026-03-27 17:02:03,0.03669724770642202,0.005262762563837434,0.5357142857142857,12.71,데이터부족,16.4
금천구,제조/산업단지/중소기업,조경/녹지관리,6,1450750000.0,241791666.66666666,2026-03-23 16:52:57,0.045871559633027525,0.004057317208125106,0.5,12.42,데이터부족,27.7
광진구,대학/강변/상업,교육물품/교구,3,342366000.0,114122000.0,2026-03-30 14:29:21,0.01834862385321101,0.0009216665743378729,0.5660377358490566,12.27,데이터부족,11.0
강서구,공항/산업단지/주거,IT장비/전산,15,5956159780.0,397077318.6666667,2026-01-22 13:52:22,0.12844036697247707,0.016803252761262103,0.25,11.93,추천,13.1
금천구,제조/산업단지/중소기업,행사/운영용역,8,1539629200.0,192453650.0,2026-03-11 20:35:52,0.06422018348623854,0.004308759054823094,0.4166666666666667,11.67,데이터부족,9.4
강북구,주거/서민/교육,건설/공사,10,61853843000.0,6185384300.0,2025-08-18 10:17:37,0.08256880733944955,0.1749394274227792,0.1079136690647482,11.53,제외,35.9
금천구,제조/산업단지/중소기업,차량/운송,4,1493878870.0,373469717.5,2026-03-24 09:57:47,0.027522935779816515,0.004179330038110046,0.5,11.5,데이터부족,7.0
중랑구,주거/제조/서민,차량/운송,5,536151550.0,107230310.0,2026-03-20 10:59:51,0.03669724770642202,0.0014698915421074432,0.47619047619047616,11.4,데이터부족,5.8
양천구,교육/주거/신도시,행사/운영용역,19,5116150200.0,269271063.15789473,2025-10-13 14:57:01,0.1651376146788991,0.014426841181958949,0.13574660633484165,11.4,추천,11.3
서초구,법조/교육/고소득,기타/미분류,22,4856939000.0,220769954.54545453,2024-12-17 17:21:31,0.1926605504587156,0.013693525143866781,0.05758157389635316,11.2,제외,9.6
강남구,업무지구/고소득/IT,급수/전기/설비,17,3773891900.0,221993641.17647058,2025-12-02 15:43:56,0.14678899082568808,0.01062955333848487,0.17543859649122806,11.17,추천,8.4
강동구,주거/강변/문화,폐기물/환경,10,62690243810.0,6269024381.0,2024-12-11 16:45:04,0.08256880733944955,0.17730562968659452,0.05692599620493359,10.59,제외,23.4
