city,district,item_category,target_age_ratio,consumer_fit_score
경기도,고양시,방역/소독,0.565,0.56
경기도,고양시,폐기물/환경,0.41,0.2937
경기도,고양시,조경/녹지관리,0.41,0.2937
경기도,고양시,의료/복지용품,0.23,0.1862
경기도,과천시,시설유지보수,0.455,0.9306
경기도,과천시,차량/운송,0.455,0.9306
경기도,과천시,전문용역/컨설팅,0.455,0.9306
경기도,과천시,경비/보안,0.455,0.9306
경기도,과천시,건설/공사,0.455,0.9306
경기도,과천시,급수/전기/설비,0.455,0.9306
경기도,과천시,보험/금융,0.455,0.9306
경기도,과천시,청소/환경미화,0.455,0.9306
경기도,과천시,IT장비/전산,0.442,0.8943
경기도,과천시,인쇄/홍보물,0.442,0.8943
경기도,과천시,행사/운영용역,0.442,0.8943
경기도,과천시,사무용품/소모품,0.442,0.8943
경기도,과천시,기타/미분류,0.442,0.8943
경기도,과천시,급식/식자재,0.47,0.7688
경기도,과천시,교육물품/교구,0.315,0.7414
경기도,과천시,방역/소독,0.565,0.56
경기도,과천시,폐기물/환경,0.41,0.2937
경기도,과천시,조경/녹지관리,0.41,0.2937
경기도,과천시,의료/복지용품,0.23,0.1862
경기도,광명시,시설유지보수,0.455,0.9306
경기도,광명시,차량/운송,0.455,0.9306
경기도,광명시,전문용역/컨설팅,0.455,0.9306
경기도,광명시,경비/보안,0.455,0.9306
경기도,광명시,건설/공사,0.455,0.9306
경기도,광명시,급수/전기/설비,0.455,0.9306
경기도,광명시,보험/금융,0.455,0.9306
경기도,광명시,청소/환경미화,0.455,0.9306
경기도,광명시,IT장비/전산,0.442,0.8943
경기도,광명시,인쇄/홍보물,0.442,0.8943
경기도,광명시,행사/운영용역,0.442,0.8943
경기도,광명시,사무용품/소모품,0.442,0.8943
경기도,광명시,기타/미분류,0.442,0.8943
경기도,광명시,급식/식자재,0.47,0.7688
경기도,광명시,교육물품/교구,0.315,0.7414
경기도,광명시,방역/소독,0.565,0.56
경기도,광명시,폐기물/환경,0.41,0.2937
경기도,광명시,조경/녹지관리,0.41,0.2937
경기도,광명시,의료/복지용품,0.23,0.1862
경기도,광주시,시설유지보수,0.455,0.9306
경기도,광주시,차량/운송,0.455,0.9306
경기도,광주시,전문용역/컨설팅,0.455,0.9306
경기도,광주시,경비/보안,0.455,0.9306
경기도,광주시,건설/공사,0.455,0.9306
경기도,광주시,급수/전기/설비,0.455,0.9306
경기도,광주시,보험/금융,0.455,0.9306
경기도,광주시,청소/환경미화,0.455,0.9306
경기도,광주시,IT장비/전산,0.442,0.8943
경기도,광주시,인쇄/홍보물,0.442,0.8943
경기도,광주시,행사/운영용역,0.442,0.8943
경기도,광주시,사무용품/소모품,0.442,0.8943
경기도,광주시,기타/미분류,0.442,0.8943
경기도,광주시,급식/식자재,0.47,0.7688
경기도,광주시,교육물품/교구,0.315,0.7414
경기도,광주시,방역/소독,0.565,0.56
경기도,광주시,폐기물/환경,0.41,0.2937
경기도,광주시,조경/녹지관리,0.41,0.2937
경기도,광주시,의료/복지용품,0.23,0.1862
경기도,구리시,시설유지보수,0.455,0.9306
경기도,구리시,차량/운송,0.455,0.9306
경기도,구리시,전문용역/컨설팅,0.455,0.9306
경기도,구리시,경비/보안,0.455,0.9306
경기도,구리시,건설/공사,0.455,0.9306
경기도,구리시,급수/전기/설비,0.455,0.9306
경기도,구리시,보험/금융,0.455,0.9306
경기도,구리시,청소/환경미화,0.455,0.9306
경기도,구리시,IT장비/전산,0.442,0.8943
경기도,구리시,인쇄/홍보물,0.442,0.8943
경기도,구리시,행사/운영용역,0.442,0.8943
경기도,구리시,사무용품/소모품,0.442,0.8943
경기도,구리시,기타/미분류,0.442,0.8943
경기도,구리시,급식/식자재,0.47,0.7688
경기도,구리시,교육물품/교구,0.315,0.7414
경기도,구리시,방역/소독,0.565,0.56
경기도,구리시,폐기물/환경,0.41,0.2937
경기도,구리시,조경/녹지관리,0.41,0.2937
경기도,구리시,의료/복지용품,0.23,0.1862
경기도,군포시,시설유지보수,0.455,0.9306
경기도,군포시,차량/운송,0.455,0.9306
경기도,군포시,전문용역/컨설팅,0.455,0.9306
경기도,군포시,경비/보안,0.455,0.9306
경기도,군포시,건설/공사,0.455,0.9306
경기도,군포시,급수/전기/설비,0.455,0.9306
경기도,군포시,보험/금융,0.455,0.9306
경기도,군포시,청소/환경미화,0.455,0.9306
경기도,군포시,IT장비/전산,0.442,0.8943
경기도,군포시,인쇄/홍보물,0.442,0.8943
경기도,군포시,행사/운영용역,0.442,0.8943
경기도,군포시,사무용품/소모품,0.442,0.8943
경기도,군포시,기타/미분류,0.442,0.8943
경기도,군포시,급식/식자재,0.47,0.7688
경기도,군포시,교육물품/교구,0.315,0.7414
경기도,군포시,방역/소독,0.565,0.56
경기도,군포시,폐기물/환경,0.41,0.2937
경기도,군포시,조경/녹지관리,0.41,0.2937
경기도,군포시,의료/복지용품,0.23,0.1862
경기도,김포시,시설유지보수,0.455,0.9306
경기도,김포시,차량/운송,0.455,0.9306
경기도,김포시,전문용역/컨설팅,0.455,0.9306
경기도,김포시,경비/보안,0.455,0.9306
경기도,김포시,건설/공사,0.455,0.9306
경기도,김포시,급수/전기/설비,0.455,0.9306
경기도,김포시,보험/금융,0.455,0.9306
경기도,김포시,청소/환경미화,0.455,0.9306
경기도,김포시,IT장비/전산,0.442,0.8943
경기도,김포시,인쇄/홍보물,0.442,0.8943
경기도,김포시,행사/운영용역,0.442,0.8943
경기도,김포시,사무용품/소모품,0.442,0.8943
경기도,김포시,기타/미분류,0.442,0.8943
경기도,김포시,급식/식자재,0.47,0.7688
경기도,김포시,교육물품/교구,0.315,0.7414
경기도,김포시,방역/소독,0.565,0.56
경기도,김포시,폐기물/환경,0.41,0.2937
경기도,김포시,조경/녹지관리,0.41,0.2937
경기도,김포시,의료/복지용품,0.23,0.1862
경기도,남양주시,시설유지보수,0.455,0.9306
경기도,남양주시,차량/운송,0.455,0.9306
경기도,남양주시,전문용역/컨설팅,0.455,0.9306
경기도,남양주시,경비/보안,0.455,0.9306
경기도,남양주시,건설/공사,0.455,0.9306
경기도,남양주시,급수/전기/설비,0.455,0.9306
경기도,남양주시,보험/금융,0.455,0.9306
경기도,남양주시,청소/환경미화,0.455,0.9306
