city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
경상남도,의령군,전국 주요 지역,폐기물/환경,12,535889000.0,44657416.66666666,2026-04-29 14:52:11,0.0162241887905604,4.428379373065247e-05,0.6521739130434783,1.0,30.43,제외,3.2,3
경상북도,의성군,전국 주요 지역,시설유지보수,47,1013745000.0,21569042.55319149,2026-05-04 10:38:21,0.0678466076696165,8.377196485742437e-05,0.7317073170731707,1.0,33.69,추천,1.7,1
경상북도,의성군,전국 주요 지역,기타/미분류,18,555984400.0,30888022.222222224,2026-04-28 18:03:48,0.0250737463126843,4.594439984224452e-05,0.6382978723404256,1.0,30.58,제외,0.0,2
경상북도,의성군,전국 주요 지역,폐기물/환경,34,3007127300.0,88444920.58823529,2026-04-22 11:36:21,0.0486725663716814,0.0002484973661989,0.5660377358490566,1.0,30.44,제외,4.9,3
경기도,의왕시,전국 주요 지역,행사/운영용역,24,2595840000.0,108160000.0,2026-05-13 09:22:08,0.0204808548530721,0.0002145101749014,0.9375,1.0,34.89,추천,7.2,1
경기도,의왕시,전국 주요 지역,교육물품/교구,3,511202480.0,170400826.66666666,2026-05-08 15:03:53,0.0017809439002671,4.2243795224231126e-05,0.8108108108108107,1.0,32.23,데이터부족,23.7,2
경기도,의왕시,전국 주요 지역,폐기물/환경,37,5624238000.0,152006432.43243244,2026-04-01 15:22:08,0.0320569902048085,0.0004647652694571,0.4054054054054054,1.0,27.37,제외,7.5,3
경기도,의정부시,교통/주거/군부대,조경/녹지관리,6,330108000.0,55018000.0,2026-05-11 17:13:40,0.0044523597506678,2.7278848009267264e-05,0.8823529411764706,1.0,33.41,데이터부족,3.8,1
경기도,의정부시,교통/주거/군부대,IT장비/전산,18,3215619600.0,178645533.33333334,2026-05-06 18:06:27,0.0151380231522707,0.0002657263632629,0.7692307692307692,1.0,32.15,추천,7.8,2
경기도,의정부시,교통/주거/군부대,교육물품/교구,6,382822000.0,63803666.66666666,2026-05-06 09:27:19,0.0044523597506678,3.163492903111622e-05,0.7692307692307692,1.0,31.72,데이터부족,19.3,3
경기도,이천시,전국 주요 지역,폐기물/환경,98,138947283946.0,1417829428.0204082,2026-05-11 19:28:07,0.0863757791629563,0.0114820659907164,0.8823529411764706,1.0,36.98,제외,5.8,1
경기도,이천시,전국 주요 지역,행사/운영용역,49,23110602500.0,471644948.9795919,2026-05-14 15:23:05,0.0427426536064114,0.0019097707810779,0.9677419354838708,1.0,36.27,추천,7.4,2
경기도,이천시,전국 주요 지역,인쇄/홍보물,9,494277090.0,54919676.66666666,2026-05-14 09:45:16,0.0071237756010685,4.084514647501095e-05,0.9677419354838708,1.0,34.8,데이터부족,4.0,3
전라북도,익산시,전국 주요 지역,폐기물/환경,199,181941987970.0,914281346.5829146,2026-05-14 11:25:01,0.2920353982300885,0.0150349819947943,0.9677419354838708,1.0,46.57,제외,6.8,1
전라북도,익산시,전국 주요 지역,행사/운영용역,95,23453962152.0,246883812.1263158,2026-05-14 10:53:01,0.1386430678466076,0.0019381446943409,0.9677419354838708,1.0,40.11,추천,15.7,2
전라북도,익산시,전국 주요 지역,시설유지보수,58,19181620490.0,330717594.6551724,2026-05-12 16:20:37,0.084070796460177,0.0015850949080851,0.9090909090909092,1.0,37.04,추천,8.0,3
강원특별자치도,인제군,전국 주요 지역,폐기물/환경,101,10144079435.0,100436430.04950497,2026-05-12 16:20:03,0.089047195013357,0.0008382674794349,0.9090909090909092,1.0,37.22,제외,5.3,1
강원특별자치도,인제군,전국 주요 지역,차량/운송,36,2425573890.0,67377052.5,2026-05-06 16:26:35,0.0311665182546749,0.0002004400422908,0.7692307692307692,1.0,32.79,추천,6.1,2
강원특별자치도,인제군,전국 주요 지역,건설/공사,59,59545571000.0,1009246966.101695,2026-05-12 16:27:07,0.0516473731077471,0.0049206156195367,0.9090909090909092,0.847,32.77,제외,9.9,3
인천광역시,인천광역시,전국 주요 지역,행사/운영용역,1124,468425774673.0,416748909.8514235,2026-05-14 14:34:28,1.0,0.0387088937890873,0.9677419354838708,1.0,75.48,추천,18.5,1
인천광역시,인천광역시,전국 주요 지역,시설유지보수,656,567737625858.0,865453697.9542683,2026-05-15 08:52:16,0.5832591273374889,0.0469156409566645,1.0,0.983,59.16,추천,7.3,2
인천광역시,인천광역시,전국 주요 지역,기타/미분류,612,347063545608.0,567097296.745098,2026-05-13 16:56:07,0.5440783615316117,0.0286799887012675,0.9375,0.992,56.38,제외,11.7,3
전라북도,임실군,전국 주요 지역,건설/공사,28,19365252000.0,691616142.8571428,2026-05-15 10:44:19,0.0398230088495575,0.001600269505644,1.0,0.964,35.91,제외,16.3,1
전라북도,임실군,전국 주요 지역,폐기물/환경,76,27495130900.0,361778038.15789473,2026-05-06 11:08:46,0.1106194690265486,0.0022720912453379,0.7692307692307692,0.987,35.76,제외,6.5,2
전라북도,임실군,전국 주요 지역,보험/금융,6,614649460.0,102441576.66666669,2026-05-13 09:42:27,0.0073746312684365,5.079225343923261e-05,0.9375,1.0,34.36,데이터부족,6.7,3
전라남도,장성군,전국 주요 지역,건설/공사,13,435555000.0,33504230.769230768,2026-05-11 13:42:51,0.0176991150442477,3.599258013945861e-05,0.8823529411764706,1.0,33.94,제외,1.2,1
전라남도,장성군,전국 주요 지역,청소/환경미화,2,48235000.0,24117500.0,2026-05-07 15:07:37,0.0014749262536873,3.985953790053577e-06,0.7894736842105263,1.0,31.9,데이터부족,0.0,2
광주광역시,장성군,전국 주요 지역,폐기물/환경,2,163000000.0,81500000.0,2026-04-28 09:44:34,0.0008904719501335,1.346968939107978e-05,0.6382978723404256,1.0,29.61,제외,6.5,3
전라북도,장수군,전국 주요 지역,폐기물/환경,50,53592317490.0,1071846349.8,2026-05-15 17:29:36,0.0722713864306784,0.0044286617812173,1.0,0.94,36.8,제외,7.9,1
전라북도,장수군,전국 주요 지역,전문용역/컨설팅,21,5350606000.0,254790761.9047619,2026-05-15 11:24:17,0.0294985250737463,0.0004421533795953,1.0,1.0,36.19,추천,17.1,2
전라북도,장수군,전국 주요 지역,기타/미분류,17,3976216000.0,233895058.82352945,2026-05-07 16:01:26,0.023598820058997,0.0003285791071892,0.7894736842105263,1.0,32.79,제외,11.6,3
전라남도,장흥군,전국 주요 지역,IT장비/전산,1,1041494000.0,1041494000.0,2026-04-01 17:51:17,0.0,8.606503486302604e-05,0.4054054054054054,1.0,26.08,데이터부족,20.0,1
