school_name,city
장유초등학교,경상남도
웅상초등학교,경상남도
진주여자중학교,경상남도
김해대청고등학교,경상남도
분성중학교,경상남도
내덕중학교,경상남도
김해영운고등학교,경상남도
김해외국어고등학교,경상남도
김해신안초등학교,경상남도
석동중학교,경상남도
서창고등학교,경상남도
김해삼방고등학교,경상남도
김해구지초등학교,경상남도
범어중학교,경상남도
율하초등학교,경상남도
율하중학교,경상남도
오라초등학교,제주특별자치도
정관중학교,부산광역시
건국초등학교,광주광역시
상록고등학교,경기도
청옥중학교,경기도
범어고등학교,경상남도
구산고등학교,경상남도
서진초등학교,경상남도
노형중학교,제주특별자치도
김포제일고등학교,경기도
고림고등학교,경기도
진해신항초등학교,경상남도
정현고등학교,경기도
충무공초등학교,경상남도
비아고등학교,광주광역시
감만중학교,부산광역시
동래초등학교,부산광역시
명장초등학교,부산광역시
연신초등학교,부산광역시
사상초등학교,부산광역시
신호초등학교,부산광역시
학장초등학교,부산광역시
승학초등학교,부산광역시
수미초등학교,부산광역시
재송초등학교,부산광역시
금명초등학교,부산광역시
상학초등학교,부산광역시
오륙도초등학교,부산광역시
서남초등학교,경상남도
경산여자고등학교,경상북도
김천고등학교,경상북도
경해여자중학교,경상남도
방곡초등학교,부산광역시
해원초등학교,부산광역시
진영중앙초등학교,경상남도
명문초등학교,부산광역시
세화여자고등학교,서울특별시
영등포고등학교,서울특별시
잠실여자고등학교,서울특별시
재현고등학교,서울특별시
언주중학교,서울특별시
봉림중학교,서울특별시
대진전자통신고등학교,부산광역시
충렬고등학교,부산광역시
